Model,Train_MAE,Train_RMSE,Train_R2,Validation_MAE,Validation_RMSE,Validation_R2,Test_MAE,Test_RMSE,Test_R2,Train_Validation_R2_Gap,Validation_Rank,Improvement_vs_Baseline_RMSE_pct
Mean Baseline,1.846643676649901,2.12855024830076,0.0,1.7913973422496572,2.0771663037634522,-0.007014245730242008,1.9111056755829903,2.173849708300708,-0.006594776557422133,0.007014245730242008,1,0.0
Gradient Boosting,1.7602985114917868,2.035683554573355,0.08535466756613208,1.7983770139934914,2.084907658070311,-0.014534279919740323,1.9319051138838572,2.2079387441479756,-0.03841196252627044,0.0998889474858724,2,-0.3726882288063693
Linear Regression,1.8281053053737522,2.112617962954812,0.014914055664033254,1.7965999883139703,2.0885740073854206,-0.018105572464790498,1.930321986498612,2.212461844162009,-0.0426708234756894,0.03301962812882375,3,-0.5491954881657624
Random Forest,0.7936019821264448,0.9238641277919004,0.8116140996905638,1.8084504737962657,2.0997847529181732,-0.029064585573704838,1.9225002452885656,2.199461944071382,-0.03045384923475636,0.8406786852642686,4,-1.088908919509258
Extra Trees,0.30368469135802467,0.36706877106468405,0.9702609520093837,1.8188414236111112,2.120518136669702,-0.04948699055560479,1.951881238425926,2.249655307800911,-0.0780219480612594,1.0197479425649885,5,-2.0870660585868324
