Model,Train_MAE,Train_RMSE,Train_R2,Validation_MAE,Validation_RMSE,Validation_R2,Test_MAE,Test_RMSE,Test_R2
Mean Baseline,1.846643676649901,2.1285502483007606,0.0,1.791397342249657,2.0771663037634522,-0.007014245730241786,1.9111056755829907,2.173849708300708,-0.006594776557422133
Gradient Boosting,1.760298511491787,2.035683554573355,0.08535466756613219,1.7983770139934911,2.084907658070311,-0.0145342799197401,1.9319051138838572,2.207938744147975,-0.03841196252627044
Linear Regression,1.8281053053737524,2.1126179629548116,0.014914055664033476,1.7965999883139696,2.088574007385421,-0.018105572464790942,1.930321986498611,2.212461844162008,-0.04267082347568851
Random Forest,0.7935741898989321,0.9235507228163427,0.8117418913481727,1.8084480031266956,2.100054551018937,-0.02932904840220285,1.9219056400733723,2.2000601439723044,-0.03101444199010084
Extra Trees,0.30388540895061733,0.3677189513007812,0.9701555065602468,1.8210365596064813,2.1243942231103436,-0.0533272030718821,1.947929056712963,2.2478214085818236,-0.07626507642671876
